product_id,product_type,join_deny,text
11,D,1,"스마트모아Dream정기예금 ▶ 1천만원 이상 가입시 최대 0.2%우대 인터넷,스마트폰 *만기후 1개월 이내: 만기일 당시 최초 가입 기간별 일반정기예금 고시금리의 1/2 
*만기후 1개월 초과: 0.01% 개인 및 개인사업자 1. 가입기간 : 1개월이상 3년제
2. 최소가입금액 : 100만원이상"
12,D,1,"굿스타트예금 ▶ 최고우대금리 0.5% 
 ① 첫예금거래 : 0.4% -최근1년동안 정기예금 계좌 신규 또는 해지이력이 없는경우
 ② 개인(신용)정보 수집이용동의 : 0.1% -만기일전일까지 유지시 스마트폰 *만기후 1개월 이내: 만기일 당시 최초 가입 기간별 일반정기예금 고시금리의 1/2 
*만기후 1개월 초과: 0.01% 개인 및 개인사업자 1. 가입기간 : 1년제
2. 가입금액 : 1백만원이상 최고 1억원(1인1계좌)"
13,D,1,"The플러스예금 ▶ 해당사항없음 영업점,스마트폰 *만기후 1개월 이내: 만기일 당시 최초 가입 기간별 일반정기예금 고시금리의 1/2 
*만기후 1개월 초과: 0.01% 개인 및 법인(단,국가 지자체 및 금융기관 제외) 1. 가입기간 : 3개월,6개월,1년제
2. 가입금액 : 10백만원이상 고객당 10억원한도"
14,D,1,"제주Dream
정기예금
(개인/만기
지급식) 최고 연 0.1%p(항목별 0.1%p)
①급여이체
②적립식예금 잔액 10만원 이상 보유
③탑스, 주거래 고객
④결제계좌(가맹점) 전월 입금액 10만원 이상 
⑤비과세종합저축 대상 고객
⑥다자녀(3인이상 자녀)가정
⑦탐나는 J연금통장 가입고객
⑧국민연금안심통장 가입고객
⑨공무원연금안심통장 가입고객 영업점,인터넷,스마트폰 - 만기후 1개월 이내 : (일반)정기예금 기본이자율의 50%
(단, 최저금리 0.1%)
- 만기후 1개월 초과 3개월 이내 : (일반)정기예금 기본이자율의 25%
(단, 최저금리 0.1%)
- 만기후 3개월 초과 : 0.1% 제한없음 가입금액 : 1백만원 이상"
15,D,1,"J정기예금
(만기지급식) - 아래의 우대요건 충족시 최고 0.5%p 추가 우대 
①비대면 채널 가입시 0.3%제공(신규시제공)  
(단, 이벤트시 디지털 채널에 고시한 우대금리를 추가 적용할 수 있음)
②신규일로부터 만기달 제외한 계약기간의 1/2이상 매월 Jbank로그인 시 0.2%제공(만기시제공) 영업점,인터넷,스마트폰 - 만기후 1개월 이내 : (일반)정기예금 기본이자율의 50%
(단, 최저금리 0.1%)
- 만기후 1개월 초과 3개월 이내 : (일반)정기예금 기본이자율의 25%
(단, 최저금리 0.1%)
- 만기후 3개월 초과 : 0.1% 실명의 
개인 및 
개인사업자 가입금액 : 30만원 이상"
16,D,1,"스마일드림 
정기예금
(개인/선이자
지급식) -아래의 우대요건 충족시 최고0.3% 추가우대(신규시제공)
①김만덕나눔적금 보유 또는 김만적 나눔적금 만기 해지고객 0.2%우대(가입시제공)
②예금가입시 탐나는전 체크카드 보유고객 0.1%우대(가입시제공)
(단, 이벤트시 영업점,디지털채널에 고시한 우대금리를 추가 적용할 수 있음) 영업점,스마트폰 - 만기후 1개월 이내 : (일반)정기예금 기본이자율의 50%
(단, 최저금리 0.1%)
- 만기후 1개월 초과 3개월 이내 : (일반)정기예금 기본이자율의 25%
(단, 최저금리 0.1%)
- 만기후 3개월 초과 : 0.1% 실명의
개인 및 
개인사업자 가입금액 : 1백만원 이상"
17,D,1,"JB 다이렉트예금통장
(만기일시지급식) 우대조건
없음 인터넷,스마트폰 만기후 1개월 이하 : 만기일 현재 계약기간별 정기예금 실행이율 1/2
만기후 1개월 초과 : 연 0.01% 실명의 개인(임의단체 제외 가입금액 1계좌당 1백만원이상 10억원이하,
1인당  총 10억원 이하,
인터넷/스마트폰뱅킹 가입상품"
18,D,1,"JB 123 정기예금
 (만기일시지급식) 자동재예치 우대이율
1회차 0.1%,
2회차 0.2%,
3회차 0.3% 인터넷,스마트폰 만기후 1개월 이하 : 만기일 현재 계약기간별 정기예금 실행이율 1/2
만기후 1개월 초과 : 연 0.01% 실명의 개인 또는 개인사업자 (1인 다계좌 가입 가능함) 예금의 신규 : 인터넷뱅킹, 모바일뱅킹, 모바일웹, BDT
예금의 해지 : 인터넷뱅킹, 모바일뱅킹, 영업점
가입금액 최저 1백만원이상 고객별 5억원 이상 (다만 자동재예치시 이자 원가로 인한 5억원 초과는 가능), 계좌수 관계없이 가입가능"
19,D,1,"내맘 쏙 정기예금 1. 모바일뱅킹 첫거래 고객 0.10%
2. 마케팅동의고객 0.10%
3. 입출금계좌 이용고객 0.10% 인터넷,스마트폰 만기후 1개월 이하 : 만기일 현재 계약기간별 정기예금 실행이율 1/2
만기후 1개월 초과 : 연 0.01% 실명의 개인 및 개인사업자 가입금액 : 계좌당 10만원 이상
예금의 신규 : 모바일뱅킹, 모바일Web
예금의 해지 : 모바일뱅킹, 인터넷뱅킹, 영업점
계약기간 : 1개월이상 12개월이내(월단위)"
20,D,1,"BNK더조은정기예금 ①가입금액 20백만원 이상인 경우 0.20%
②이 예금 신규시 금리우대쿠폰 등록할 경우 0.20% 
③ 경남은행 오픈뱅킹 서비스에 가입되어 있는 경우
(만기시까지 해당서비스 유지하는 경우) 0.10%
④ 자동재예치 신청 0.05%
(단 금리우대쿠폰과 중복적용 불가) 인터넷,스마트폰 만기 후 1개월 이내: 일반정기예금 기본이율 Ⅹ50%
만기 후 1개월 초과: 일반정기예금 기본이율 Ⅹ20% 거래대상자는 제한을 두지 아니한다. 다만, 국가 및 지방자치단체는 이 예금을 거래할 수 없다. 1. 이 예금의 계약기간은 3개월 이상 2년 이내 월단위로 한다.
2. 가입금액은 1인당 최소 100만원 이상 5억원 이하이다."
21,D,1,"The든든예금(시즌2) ①마케팅동의 및 모바일메세지 수신동의 0.05%
②신규고객 우대(최근 12개월 신규이력·해지이력 미보유) 0.10%
③이벤트금리(비대면금리) 최대 0.60%
   (3, 6개월 0.55% / 12개월 0.60%) 스마트폰 만기 후 1개월 이내: 일반정기예금 기본이율 Ⅹ50%
만기 후 1개월 초과: 일반정기예금 기본이율 Ⅹ20% 개인 1. 이 예금의 계약기간은 3개월, 6개월, 12개월로 한다.
2. 가입좌수 제한없으며, 가입금액은 1인당 최소 100만원 이상 10억원 이하이다."
22,D,1,"IBK평생한가족통장(실세금리정기예금) 최고 연 0.20%p

-고객별 우대 : 최고 연 0.05%p
 1. 최초신규고객 : 연 0.05%p
 2. 재예치고객 : 연 0.05%p
 3. 장기거래고객 : 연 0.05%p

-주거래우대 : 연 0.15%p 영업점,인터넷,스마트폰 만기일 당시 정기예금 만기후 이자율 적용 -1개월 이내: 만기일 당시 계약기간별 고시금리×50% -1월 초과 6개월 이내: 만기일 당시 계약기간별 고시금리×30% -6개월 초과: 만기일 당시 계약기간별 고시금리×20% 실명의 개인
(개인사업자 제외) 계좌 수 제한 없으며, 최소 1백만원 이상 통합한도 1억원 이내 가입 가능"
23,D,1,"1석7조통장(실세금리정기예금)  인터넷,스마트폰 만기일 당시 정기예금 만기후 이자율 적용 -1개월 이내: 만기일 당시 계약기간별 고시금리×50% -1월 초과 6개월 이내: 만기일 당시 계약기간별 고시금리×30% -6개월 초과: 만기일 당시 계약기간별 고시금리×20% 실명의 개인
(개인사업자 제외) 계좌 수 제한 없으며, 최소 1백만원 이상 납입한도 제한 없음"
24,D,1,"IBK굴리기통장(정기예금)  영업점,스마트폰 만기일 당시 정기예금 만기후 이자율 적용 -1개월 이내: 만기일 당시 계약기간별 고시금리×50% -1월 초과 6개월 이내: 만기일 당시 계약기간별 고시금리×30% -6개월 초과: 만기일 당시 계약기간별 고시금리×20% 실명의 개인
(개인사업자 제외) 계좌 수 제한 없으며, 최소 1백만원 이상 통합한도 3억원 이내 가입 가능"
25,D,1,"KDB 정기예금 해당없음 영업점,인터넷,스마트폰 * 만기후 1년 이내 : 만기일 현재 고시된 일반 정기예금 해당기간 기본이율의 1/2
* 만기후 1년 초과 : 만기일 현재 고시된 보통예금 이자율 제한없음 해당없음"
26,D,1,"KB Star 정기예금 해당무 인터넷,스마트폰 - 1개월 이내 : 기본이율 X 50%
- 1개월 초과  ~ 3개월 이내 : 기본이율 X 30%
- 3개월 초과 : 0.1% 실명의 개인 또는 개인사업자 - 가입금액 : 1백만원 이상"
27,D,1,"쏠편한 정기예금 해당사항없음 인터넷,스마트폰 -1개월 이하: (일반) 정기예금 기본금리 1/2
(단, 최저금리 0.10%)
-1개월 초과~6개월 이하: (일반) 정기예금 기본금리의 1/4
(단, 최저금리 0.10%)
-6개월 초과:  0.10% 만14세이상 개인고객 1. 가입한도 :
 1만원 이상"
28,D,1,"NH왈츠회전예금 II 1. 급여이체실적(50만원 이상)이 있는 경우 : 0.1%p
2. 트리플 회전 우대이율 :  4회전기간부터 0.1%p 영업점,인터넷,스마트폰 만기 후 3개월 : 기본금리의 50%
만기 후 6개월 : 기본금리의 20%
만기 후 6개월 초과 : 기본금리의 10%

* 기본금리 : 만기시점의 일반정기예금 계약기간별 금리 개인 ※ 기본금리 및 최고 우대금리 항목은 가입기간이 아닌 ‘회전주기’기간별 금리를 공시
 - 회전주기는 1개월 이상 12개월 이내 월단위로 선택 가능
※ 전월취급평균금리는 본 홈페이지에 공시되지 않는 회전기간 6개월 미만의 계좌들도 포함하여 산출하기 때문에 회전기간별로 공시된 기본금리보다 낮게 보여질 수 있음"
29,D,1,"NH내가Green초록세상예금 ※ 우대금리 최대한도 : 0.4%p(연%, 세전)
1. 온실가스 줄이기 실천서약서 동의 : 0.1%p
2. 통장미발급 : 0.1%p
3. 손하나로인증 서비스 등록 : 0.1%p
4. NH내가Green초록세상적금 동시 보유 : 0.1%p 영업점,인터넷,스마트폰 만기 후 3개월 : 기본금리의 50%
만기 후 6개월 : 기본금리의 20%
만기 후  6개월 초과 : 기본금리의 10%

* 기본금리 : 만기시점의 일반정기예금 계약기간별 금리 개인 1. 300만원이상 가입
2. 온실가스 줄이기 실천서약서 동의시 가입가능
3. 신규가입 계좌당 2천원씩 녹색환경기금 적립
※ 자세한 사항은 상품설명서 참조"
30,D,1,"NH올원e예금  인터넷,스마트폰 만기 후 3개월 : 기본금리의 50%
만기 후 6개월 : 기본금리의 20%
만기 후  6개월 초과 : 기본금리의 10%

* 기본금리 : 만기시점의 큰만족실세예금 계약기간별 금리 개인 1. 10만원 이상 10억원 이내 가입"
31,D,1,"NH고향사랑기부예금 1. 고향사랑기부금 납부고객 우대 : 0.5%p

2-1. 만65세 이상 고령자 우대 : 0.1%p
2-2. 만 19~34세 MZ고객 우대 : 0.1%p

3. 고향사랑 특별금리 : 0.1%p (금리시장상황에 따라 변동 가능)
 - 고향사랑 특별금리는 상품 가입고객 모두에게 적용 영업점,인터넷,스마트폰 만기 후 3개월 : 기본금리의 50%
만기 후 6개월 : 기본금리의 20%
만기 후  6개월 초과 : 기본금리의 10%

* 기본금리 : 만기시점의 큰만족실세예금 계약기간별 금리 개인 1. 100만원 이상 가입
2. 고향사랑기부금 우대금리는 농협은행/농축협 영업점 또는 고향사랑e음 홈페이지를 통한 고향사랑기부금 납부실적이 확인되는 경우 제공
3. 연간 판매액의 0.1% 공익기금 적립

※ 우대조건 관련 자세한 사항은 상품설명서 참조"
32,D,1,"하나의정기예금 해당사항없음 스마트폰 1개월이내 : 지급당시 해당기간 일반정기예금 월이자지급식 기본금리 1/2
1개월초과 : 지급당시 해당기간 일반정기예금 월이자지급식 기본금리 1/4 실명의 개인 또는 개인사업자 1. 가입금액: 1백만원이상
2. 1인 최대가입한도 : 제한 없음"
33,D,1,"코드K 정기예금 우대조건 없음 스마트폰 만기 후 
- 1개월 이내 : 만기시점 기본금리 X 50%
- 1개월 초과~6개월 이내 : 만기시점 기본금리 X 30%
- 6개월 초과 : 연 0.20% 만 17세 이상 실명의 개인 및 개인사업자 가입금액 : 1백만원 이상
가입기간 : 1개월~36개월"
34,D,1,"Sh평생주거래우대예금
(만기일시지급식) * 최대우대금리 : 0.4%
1. 거래고객우대금리 : 최대0.1% (신규시) 
 -최초예적금고객/재예치/장기거래 각 0.05% 
2. 거래실적우대금리 : 최대0.3% (만기시)
 -급여,연금이체등/수협카드결제/공과금이체등 각0.1%
※단위:연%p 영업점 * 만기후 1년 이내
 - 만기당시 일반정기예금(월이자지급식) 계약기간별 기본금리 1/2
* 만기후 1년 초과
 - 만기당시 보통예금 기본금리 실명의 개인 - 1인 1계좌
- 최저 100만원 이상"
35,D,1,"Sh해양플라스틱Zero!예금
(만기일시지급식) * 최대우대금리:0.35%
1. 해양플라스틱감축서약 : 0.1% (신규시) 
2. 봉사활동 또는 상품홍보 : 0.15% (만기시) 
3. 입출금통장 최초신규 : 0.1% (만기시)
4. 자동이체 출금실적 : 0.1% (만기시)
 - 수협신용카드 / 당행 펀드 또는 적금 / 수협체크카드
※단위:연%p 영업점,인터넷,스마트폰 * 만기후 
-1개월 이내: 만기당시 일반정기예금(월이자지급식) 계약기간별 기본금리 1/2
-1개월초과~3개월 이내: 만기당시 일반정기예금(월이자지급식) 기본금리의 1/4
- 3개월 초과: 만기당시 보통예금 기본금리 실명의 개인 - 1인 다계좌 가능. 
  단,  합산금액 5억원 이내 
- 최저 100만원 이상"
36,D,1,"헤이(Hey)정기예금  인터넷,스마트폰 * 만기후 
-1개월 이내: 만기당시 일반정기예금(월이자지급식) 계약기간별 기본금리 1/2
-1개월초과~3개월 이내: 만기당시 일반정기예금(월이자지급식) 기본금리의 1/4
- 3개월 초과: 만기당시 보통예금 기본금리 실명의 개인 -1인 다계좌 가능.
 단, 합산금액 최대 10억원 이내
-최저 10만원 이상"
37,D,1,"Sh첫만남우대예금 * 최대우대금리:1.05%
1. 첫거래우대 : 1.0% (신규시) 
  - 최근 1년간 수협은행 예적금 활동계좌 미보유 고객포함
2. 마케팅전체동의 : 0.05%(신규시) 
3. 스마트폰뱅킹의 상품알리기 : 0.80%(만기시)
※단위:연%p 인터넷,스마트폰 * 만기후 
-1개월 이내: 만기당시 일반정기예금(월이자지급식) 계약기간별 기본금리 1/2
-1개월초과~3개월 이내: 만기당시 일반정기예금(월이자지급식) 기본금리의 1/4
- 3개월 초과: 만기당시 보통예금 기본금리 실명의 개인 -1인 1계좌
-최저 100만원 이상"
38,D,1,"카카오뱅크 정기예금 ※복잡한 우대조건 없이 가입가능한 정기예금 스마트폰 - 만기 후 1개월 이내 : 가입(또는 자동연장)시점 기본금리x50%
- 만기 후 1개월초과 3개월 이내 : 가입(또는 자동연장)시점 기본금리x30%
- 만기 후 3개월 초과 : 0.20% 만 14세 이상의 실명의 개인 1. 가입방법 : 스마트폰
2. 가입금액 : 100만원 이상(원단위)
3. 가입기간 : 1개월 이상 ~ 36개월 이하(월, 일단위 지정 가능)"
39,D,1,"토스뱅크 먼저 이자 받는 정기예금 우대조건 없음 스마트폰 · 만기 후 1개월 이내 : 만기시점 기본금리 X 50% 
· 만기 후 1개월 초과 3개월 이내 : 만기시점 기본금리 X 20% 
· 만기 후 3개월 초과 : 연 0.10% 토스뱅크 통장 또는 토스뱅크 서브 통장을 보유한 만 17세 이상 실명의 개인 · 계약기간 : 3개월, 6개월 
· 가입금액 : 최소 1백만원 최대 10억원"
40,S,1,"우리SUPER주거래적금 1. 거래실적인정기간동안 입출식계좌에서 아래 각실적이 있는 월 수가 계약기간의 1/2이상인경우
가. 급여연금이체:연 0.7%p
나. 공과금자동이체출금 실적 :0.3%p
다. 카드결제금액 10만원이상 출금 :연 0.3%p
2. 상품서비스 마케팅 동의 항목 중 전화및 SMS항목을 모두 동의, 만기해지시점까지 유지:연 0.1%p
3. 금리우대쿠폰을 적용한 경우 영업점,인터넷,스마트폰,전화(텔레뱅킹) 만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기적금 금리 실명의 개인 1. 가입기간 : 1년/2년/3년
2. 가입금액 : 월 50만원 이내"
41,S,1,"WON적금 1. 아래 각 항(가, 나)의 조건을 충족하는 경우 합산 최대 연 0.2%p 우대
가. 이 적금을 우리꿈통장, WON통장에 연결하여 가입하는 경우 : 0.1%p
나. 우리 오픈뱅킹 서비스에 타행계좌가 등록되어 있는 경우 : 연 0.1%p 스마트폰,전화(텔레뱅킹) 만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기적금 금리 실명의 개인 1. 가입기간 : 1년
2. 가입금액 : 월 50만원 이내"
42,S,1,"퍼스트가계적금  영업점,인터넷,스마트폰 만기 후 1개월: 약정이율의 50%
만기 후 1개월 초과 1년 이내: 약정이율의 30%
만기 후 1년 초과: 약정이율의 10% 개인(개인사업자 포함) 해당없음"
43,S,1,"내손안에 적금 * 최고우대금리 : 연0.55%p
 - 당행 인터넷/모바일뱅킹을 통하여 최초로 적립식예금 가입 시 : 연0.20%p
 - 상품 가입 전 최근 3개월 이내 당행 인터넷/모바일뱅킹을 통한 이체거래 3회 이상 : 연0.10%p
- 상품 가입 전 수수료우대 통장 보유 고객 : 연0.20%p
* 해당 상품을 모바일뱅킹을 통해 가입 : 연0.05%p 스마트폰 만기 후 1개월 미만 경과: 약정이자율 x 50%
만기 후 3개월 미만 경과: 약정이자율 x 25%
만기 후 3개월 이상 경과: 약정이자율 x 10% 실명의 개인 1계좌당 가입한도 : 월 100만원(최저 10만원 이상)"
44,S,3,"영플러스적금 * 최고우대금리 : 연0.55%p
- 상품 가입 전 영플러스통장 보유 또는 재예치일 기준 영플러스통장 전월 평잔 10만원 이상 : 연0.10%p
- 예금기간 중 입금횟수 10회 이상 : 연0.10%p
- 입학 및 졸업 축하금리 : 연0.30%p
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p 영업점,인터넷,스마트폰 만기 후 1개월 미만 경과: 약정이자율 x 50%
만기 후 3개월 미만 경과: 약정이자율 x 25%
만기 후 3개월 이상 경과: 약정이자율 x 10% 만 29세 이하 실명의 개인 1계좌당 가입한도 : 월 50만원(최저 1만원 이상)"
45,S,1,"내가만든 보너스적금 * 최고우대금리 : 연0.80%p
 - 인터넷/모바일뱅킹으로 신규 : 연0.20%p
 - 상품 가입 전 마케팅활용[개인(신용)정보수집이용동의] 전체 동의 : 연0.20%p
(계약기간 1년인 경우 만기일 기준)
 - 당행 계좌로 자동이체 8회 이상 입금 : 연0.20%p
 - 원금합계 100만원 이상 : 연0.10%p 또는 원금합계 200만원 이상 : 연0.20%p 영업점,인터넷,스마트폰 만기 후 1개월 미만 경과: 약정이자율 x 50%
만기 후 3개월 미만 경과: 약정이자율 x 25%
만기 후 3개월 이상 경과: 약정이자율 x 10% 실명의 개인 1계좌당 가입한도 : 월20만원
(최저 1만원 이상)"
46,S,1,"iM스마트적금 * 최고우대금리 : 연0.45%p
- 가입일로부터 3개월 이내 1가지 이상 요건 충족시 : 연0.20%p
① 당행 주택청약종합저축 보유
② 당행 신용(체크)카드 결제실적 보유(결제금액 출금기준)
- 전체 계약월수 중 1/2이상 당행 계좌에서 자동이체 납입 시 : 연0.20%p
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p 인터넷,스마트폰 만기 후 1개월 미만 경과: 약정이자율 x 50%
만기 후 3개월 미만 경과: 약정이자율 x 25%
만기 후 3개월 이상 경과: 약정이자율 x 10% 실명의 개인 1계좌당 가입한도 : 월 100만원(최저 5만원 이상)"
47,S,1,"펫 적금 *우대이율 6개월제 최대 0.55%, 12개월제 최대 0.90% 영업점,스마트폰 - 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50%
- 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20% 실명의 개인고객(1인 1계좌) 1. 가입한도: 월 1만원 이상 50만원 이하 원단위
2. 정기적립식"
48,S,1,"저탄소 실천
적금 조건 달성여부에 따라 우대금리 적용
*개인형 우대이율: 최대0.5%
*기업형(개인사업자 및 법인)우대이율: 최대0.4% 영업점,인터넷,스마트폰 - 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50%
- 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20% 제한없음 1. 가입한도: 월 1만원 이상 1천만원 이하 원단위 (월 1천만원 이하 불입 가능)
2. 자유적립식"
49,S,1,"BNK내맘대로 
적금 *우대이율 최대 0.2%
- 신규시 우대이율 0.05% 및 해지시 우대이율 최대 0.15% 영업점,인터넷,스마트폰 - 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50%
- 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20% 제한없음 1. 가입금액 :
   1천원 이상
2. 가입기간 : 
6개월 이상 60개월 이하(일단위)"
50,S,1,"부산이라 좋다
Big적금 *우대이율 6개월 미만 최대2.00%, 6개월 이상 2.20% 스마트폰 - 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50%
- 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20% 실명의 개인고객(1인 1계좌) 1. 가입한도: 월 1천원 이상 100만원 이하 원단위
2. 자유적립식"
51,S,1,"해피라이프_여행스케치적금V ▶ 최고우대금리 1.20%p  
①해피라이프_여행스케치외화적금V 동일자가입 0.5%p 
②해지원금 기준 500만원이상 : 최고0.2%p
③신용(체크)카드사용실적300만원이상:최고 0.3%p
④개인(신용)정보 동의: 0.2%p 영업점,스마트폰 *만기후 1개월 이내: 만기일 당시 최초 가입 기간별 고시금리의 1/2 
*만기후 1개월 초과: 0.1% 제한없음(단,국가및지방자치단체제외) 1. 가입기간 : 6개월이상 3년제
2. 가입금액 : 월5만원 이상 5백만원 이하 (1인1계좌)"
